country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Rwanda,,,,,,,,,,,,,,,,,,2470,,2760,,,3080,
Saudi Arabia,,,,,,,,,,,,,,,,,,5640,,5640,,,7170,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,907,,919,,,,
Sudan,,,,,,,,,,,,,,,,,,10.1k,,16.8k,,,13.4k,
Senegal,,,,,,,,,,,,,,,,,,3060,,2700,,,4020,
Singapore,,,,,,,,,,,,,,,,,,223,,305,,,214,
Solomon Islands,,,,,,,,,,,,,,,,,,27,,28,,,84,
Sierra Leone,,,,,,,,,,,,,,,,,,3060,,2660,,,1660,
El Salvador,,,,,,,,,,,,,,,,,,1910,,1960,,,865,
San Marino,,,,,,,,,,,,,,,,,,3,,3,,,1,
Somalia,,,,,,,,,,,,,,,,,,3640,,1780,,,,
Serbia,,,,,,,,,,,,,,1350,1100,1000,1240,871,847,964,961,1020,962,1020
Sao Tome and Principe,,,,,,,,,,,,,,,,,,34,,41,,,52,
Suriname,,,,,,,,,,,,,,,,,,96,,129,,,84,
Slovak Republic,,,,,,,,,,785,837,767,936,999,819,796,781,60,795,769,702,,815,
Slovenia,445,487,497,504,515,492,462,472,493,527,402,374,366,333,353,323,315,283,289,287,274,283,293,236
Sweden,,,,,,,,,,,,682,616,596,631,659,675,558,593,543,515,525,471,
Eswatini,,,,,,,,,,,,,,,,,,241,,277,,,300,
Seychelles,,,,,,,,,,,,,,,,,,9,,9,,,16,
Syria,,,,,,,,,,,,,,,,,,2280,,2260,,,6550,
Chad,,,,,,,,,,,,,,,,,,2920,,2950,,,3700,
Togo,,,,,,,,,,,,,,,,,,1530,,1350,,,1850,
Thailand,,,,,,14.6k,16.7k,18.4k,,24.3k,26.4k,23.7k,21.2k,11.4k,16.1k,17.4k,,18.7k,,15.6k,,17.3k,16.2k,
Tajikistan,,,,,,,,,,,,,,,,,,255,,226,,,951,
Turkmenistan,,,,,,,,,,,,,,,,,,452,,407,,,926,
Timor-Leste,,,,,,,,,,,,,,,,,,128,,119,,,186,
Tonga,,,,,,,,,,,,,,,,,,6,,5,,,7,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,164,,218,,,207,
Tunisia,,,,,,,,,,,,,,,,,,3040,,2560,,,3570,
Turkey,,,,,,,,,,,,,,,,,,6220,,8310,,,10.1k,
Tuvalu,,,,,,,,,,,,,,,,,,1,,1,,1,,
Tanzania,,,,,,,,,,,,,,,,,,10.1k,,10.1k,,,13.9k,
Uganda,,,,,,,,,,,,,,,,,,6880,,8440,,,7630,
Ukraine,,,,,,,,,,,,,,,,,,6250,,9020,,,9920,
Uruguay,,,,,,,,,,,,,,,,,,357,,364,,,145,
USA,,,,,,,,,,,,,46.3k,46.3k,46.1k,46.1k,46.6k,45.1k,47.2k,45.6k,47.5k,42.6k,,
Uzbekistan,,,,,,,,,,,,,,,,,,2190,,3130,3200,2640,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,6,6,6,12,10,,,8,
Venezuela,,,,,,,,,,,,,,,,,,6900,,7000,,6030,,
British Virgin Islands,,,,,,,,,,,,,2,,,,,,,,,,5,
Virgin Islands (U.S.),,,,,,,,,,,,,,,15,16,21,18,9,,4,,,
Vietnam,,,,,,,,,,,,,,,,,,12.4k,,11.4k,,,14.1k,
Vanuatu,,,,,,,,,,,,,,,,,,14,,14,,,42,
Samoa,,,,,,,,,,,,,,,,,,13,,13,,,24,
Yemen,,,,,,,,,,,,,,,,,,7560,,8720,,,6550,
South Africa,,,,,,,,,,,,,,,,,,13.6k,,18.6k,,,16.1k,
Zambia,,,,,,,,,,,,,,,,,,1420,,2790,,,3060,
Zimbabwe,,,,,,,,,,,,,,,,,,1950,,4340,,,3670,
